Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.1436724597066394	0.0025770369622971755	0.7516335631227553	0.003428581543898272	0.997264393080259	0.9990420277335438
Acidianus brierleyi	Acidianus brierleyi	1.1559920105744603	0.012629931546560311	0.7437445930614461	0.016981544019798823	0.9864513393887547	0.9990420277335438
Acidianus sulfidivorans	Acidianus sulfidivorans	1.0916389746754829	0.012630317556642606	0.7335319396845454	0.017218497073316616	0.986262305845896	0.9990420277335438
Acidilobus saccharovorans	Acidilobus saccharovorans	1.1535824713040121	0.06187132788311443	0.7340602535167398	0.08428644322683451	0.9328286907834622	0.9990420277335438
Aciduliprofundum boonei	Aciduliprofundum boonei	1.083817031495714	0.0025769253287380336	0.7336456002213033	0.0035124934000295336	0.9971974415090079	0.9990420277335438
Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	1.0680341890111784	0.0025769236232863917	0.7333952810204437	0.0035136899431652585	0.9971964868116049	0.9990420277335438
Aeropyrum pernix	Aeropyrum pernix	1.0556376268024197	0.0025769107183693176	0.733295722198505	0.003514149394794562	0.9971961202245068	0.9990420277335438
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.112117484452674	0.012630630515022143	0.7341601655785542	0.017204189367954318	0.9862737200523627	0.9990420277335438
Archaeoglobus profundus	Archaeoglobus profundus	1.244551904251528	0.012628160264070357	0.7623029523976121	0.016565802643623492	0.9867830063501575	0.9990420277335438
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0788920132772202	0.012630463272579467	0.733422462957398	0.01722126592857455	0.9862600969465551	0.9990420277335438
Archaeoglobus veneficus	Archaeoglobus veneficus	1.094962804107396	0.0025769421567548786	0.7361295211896178	0.0035006640578555065	0.9972068799004651	0.9990420277335438
Caldisphaera lagunensis	Caldisphaera lagunensis	1.0658104172377139	0.002576830875830494	0.7333671258557721	0.0035136983714992255	0.9971964800868088	0.9990420277335438
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.0624561031862905	0.0025768871924185957	0.7333450207493041	0.003513881078493763	0.9971963343086188	0.9990420277335438
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	536.7065944916607	0.11977951878235922	1.4170194123332702	0.08452920103975835	0.9326356868447727	0.9990420277335438
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.4660145050975912	0.012607101549329315	0.8613127518836319	0.014637077556042738	0.9883217188046043	0.9990420277335438
Candidatus Nitrosocosmicus exaquare	Candidatus Nitrosocosmicus exaquare	2.205875387064232	0.1731946137072125	0.9838588402394624	0.17603603954512265	0.8602656290722859	0.9990420277335438
Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus franklandus	1.1028201271140061	0.002576880271436897	0.7340525382606296	0.003510484791106275	0.9971990441371757	0.9990420277335438
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	11.75983737097268	2.095844973317904	0.9921593896035764	2.1124075378204226	0.03465150902656157	0.9990420277335438
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	1.079256446077435	0.012630060542259819	0.733534186082491	0.017218093964661493	0.9862626274323945	0.9990420277335438
Candidatus Nitrososphaera gargensis	Candidatus Nitrososphaera gargensis	1.9081876162594094	0.022556833279663187	0.9443519252261193	0.023886045738999356	0.9809435049956633	0.9990420277335438
Candidatus Nitrosotalea devanaterra	Candidatus Nitrosotalea devanaterra	1.0987371189364137	0.02261359963693458	0.7335175181059691	0.030828983737601286	0.9754059257211382	0.9990420277335438
Candidatus Nitrosotalea okcheonensis	Candidatus Nitrosotalea okcheonensis	1.106172489424068	0.02261391143773811	0.7337698505519474	0.030818807042463994	0.9754140416926091	0.9990420277335438
Candidatus Nitrosotenuis aquarius	Candidatus Nitrosotenuis aquarius	1.0751135083129688	0.012630495053747784	0.7334215575921673	0.017221330519945264	0.9862600454177393	0.9990420277335438
Candidatus Nitrosotenuis cloacae	Candidatus Nitrosotenuis cloacae	1.4880555387798353	0.11859971586119944	0.8401811806042903	0.1411596910274734	0.8877437890528375	0.9990420277335438
Candidatus Prometheoarchaeum syntrophicum	Candidatus Prometheoarchaeum syntrophicum	1.679394997237182	0.0126153638351016	0.8071651082728456	0.015629223446112138	0.9875301915892157	0.9990420277335438
Cuniculiplasma divulgatum	Cuniculiplasma divulgatum	1.0943911482881945	0.012630417692074283	0.7340643076633325	0.017206146055894374	0.986272159072321	0.9990420277335438
Desulfurococcus amylolyticus	Desulfurococcus amylolyticus	1.0514596368986742	0.01263040004936336	0.7331907736530937	0.017226621642322228	0.9862558243390557	0.9990420277335438
DPANN group archaeon LC1Nh	DPANN group archaeon LC1Nh	1.0710964352348573	0.03252991212713338	0.7332331848597466	0.044365029841571785	0.9646134363324167	0.9990420277335438
Ferroplasma acidarmanus	Ferroplasma acidarmanus	1.0496421542569079	0.002576922637850503	0.7332507611624074	0.003514381128995162	0.9971959353285076	0.9990420277335438
Geoglobus ahangari	Geoglobus ahangari	1.070119703140638	0.00257690590615768	0.7334767876611501	0.003513275334008461	0.997196817619808	0.9990420277335438
Halalkaliarchaeum desulfuricum	Halalkaliarchaeum desulfuricum	1.2300733896281584	0.012630165542904243	0.7395346387727926	0.017078531390852962	0.9863739658836581	0.9990420277335438
Halalkalicoccus jeotgali	Halalkalicoccus jeotgali	1.3914502156627013	0.10937763962597795	0.7869564928225395	0.13898816595778804	0.8894595004780608	0.9990420277335438
Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum sulfurireducens	1.0862911411405165	0.00257691653705527	0.7341546892488304	0.003510045736671531	0.9971993944497723	0.9990420277335438
haloarchaeon 3A1-DGR	haloarchaeon 3A1-DGR	1.1785560166974185	0.052153676973233004	0.7356763014916704	0.070892153067164565	0.9434835886089293	0.9990420277335438
