Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.1436724597066394	-0.002541643340537655	0.15682300321425882	-0.016207082433341395	0.9870691852417421	0.9870691852417421
Acidianus brierleyi	Acidianus brierleyi	1.1559920105744603	0.23557483768397844	0.15224314336199388	1.5473592602055244	0.12177663929403594	0.3162630933233637
Acidianus sulfidivorans	Acidianus sulfidivorans	1.0916389746754829	-0.2492323000324772	0.143040629636131	-1.7423881638837737	0.08144054560910614	0.2370824772176201
Acidilobus saccharovorans	Acidilobus saccharovorans	1.1535824713040121	-0.4327965880320657	0.13688251208590133	-3.161810675716281	0.0015679146694628275	0.008215872867985216
Aciduliprofundum boonei	Aciduliprofundum boonei	1.083817031495714	0.033978416024157576	0.1531899905424337	0.2218057191846718	0.8244651270884203	0.9138535587082175
Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	1.0680341890111784	0.03397759099860829	0.15313739717992675	0.2218765084448103	0.824410018299967	0.9138535587082175
Aeropyrum pernix	Aeropyrum pernix	1.0556376268024197	0.013969413835765707	0.15211595483286017	0.09183398185361176	0.9268299445152182	NA
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.112117484452674	0.28211077446303084	0.15027807882471977	1.8772583244963965	0.06048269717547554	0.18864841261874513
Archaeoglobus profundus	Archaeoglobus profundus	1.244551904251528	0.22154480989302136	0.1563765209473432	1.4167396010020095	0.15655907432186908	0.35550324820848367
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0788920132772202	0.08947053693416279	0.15243768895826368	0.5869318640658424	0.5572494684792509	0.8647239956580108
Archaeoglobus veneficus	Archaeoglobus veneficus	1.094962804107396	0.061990116339076425	0.1533468756882121	0.40424766439399756	0.6860306065741124	0.8874115784452064
Caldisphaera lagunensis	Caldisphaera lagunensis	1.0658104172377139	-0.16019291707125777	0.1463753045032293	-1.0943985231315	0.273780231391567	0.5323815068684405
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.0624561031862905	-0.0369876401694086	0.15036051499449632	-0.2459930399331398	0.8056876203202048	NA
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	536.7065944916607	4.325149159151713	0.2828776741404587	15.289821553765053	8.939475423246035e-53	2.9276782011130764e-51
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.4660145050975912	0.24912290215846064	0.17619858084803752	1.4138757585869361	0.15739838470299275	0.35550324820848367
Candidatus Nitrosocosmicus exaquare	Candidatus Nitrosocosmicus exaquare	2.205875387064232	-0.08704491599366221	0.19242561039355652	-0.4523561900915085	0.6510124023958002	0.8812052197876209
Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus franklandus	1.1028201271140061	-0.05989105755555491	0.14963832423555548	-0.4002387614370532	0.6889806677625037	0.8874115784452064
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	11.75983737097268	-6.115778705070535	0.16208896285563426	-37.73100029344749	0	0
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	1.079256446077435	0.06595015887414638	0.15276338996974234	0.43171442377135677	0.6659489828929348	0.8812052197876209
Candidatus Nitrososphaera gargensis	Candidatus Nitrososphaera gargensis	1.9081876162594094	1.958468368112175	0.18542326590421834	10.562150108626795	4.4631973138806343e-26	7.308485601479538e-25
Candidatus Nitrosotalea devanaterra	Candidatus Nitrosotalea devanaterra	1.0987371189364137	-0.02944652114662431	0.15092665350880435	-0.19510484372401815	0.8453108707041237	0.9138535587082175
Candidatus Nitrosotalea okcheonensis	Candidatus Nitrosotalea okcheonensis	1.106172489424068	0.01812498378159072	0.15156966445136988	0.11958186915038002	0.9048143829700356	0.9351004034504791
Candidatus Nitrosotenuis aquarius	Candidatus Nitrosotenuis aquarius	1.0751135083129688	-0.06555669712317923	0.15077879069688502	-0.4347872590049469	0.6637168538757241	0.8812052197876209
Candidatus Nitrosotenuis cloacae	Candidatus Nitrosotenuis cloacae	1.4880555387798353	0.049888349205033315	0.17552764998749348	0.2842193193413568	0.7762423110150574	0.9138535587082175
Candidatus Prometheoarchaeum syntrophicum	Candidatus Prometheoarchaeum syntrophicum	1.679394997237182	-0.0881255101749437	0.13035330058961794	-0.6760512374932722	0.4990081146620658	0.7971958904967149
Cuniculiplasma divulgatum	Cuniculiplasma divulgatum	1.0943911482881945	0.22711411931217843	0.14964852154174033	1.517650271264666	0.12910258657638735	0.3191026196510706
Desulfurococcus amylolyticus	Desulfurococcus amylolyticus	1.0514596368986742	-0.005987480305544972	0.15175184975661574	-0.03945573194098046	0.9685270468059717	NA
