Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Abalone shriveling syndrome-associated virus	Abalone shriveling syndrome-associated virus	1.0084890835270097	0.0011168572969558201	0.7309197760603547	0.0015280162523111116	0.9987808198980556	0.9997425766897149
Abelson murine leukemia virus	Abelson murine leukemia virus	1.3146177309162452	0.001116399706715603	0.7440570578945764	0.0015004221717547137	0.9988028367636596	0.9997425766897149
Acinetobacter phage vB_AbaS_TRS1	Acinetobacter phage vB_AbaS_TRS1	1.0103062790128248	0.001116869693289425	0.7309281902795315	0.0015280156219755275	0.99878082040099	0.9997425766897149
Adeno-associated dependoparvovirus A	Adeno-associated dependoparvovirus A	1.0143874077418047	0.0011168637511293398	0.7311912020840549	0.001527457863204636	0.9987812654275826	0.9997425766897149
Agrotis segetum nucleopolyhedrovirus B	Agrotis segetum nucleopolyhedrovirus B	1.0098450325097539	0.001116869699330998	0.7309338257090978	0.0015280038493874514	0.9987808297941453	0.9997425766897149
Alfalfa mosaic virus	Alfalfa mosaic virus	1.0320794402952254	0.13264547694027104	0.7308838194138814	0.18148640511243444	0.8559858031139287	0.9997425766897149
Ateline alphaherpesvirus 1	Ateline alphaherpesvirus 1	1.0515334119862156	0.09012127068821026	0.7307412909195574	0.12332855937947966	0.9018469263435135	0.9997425766897149
Autographa californica multiple nucleopolyhedrovirus	Autographa californica multiple nucleopolyhedrovirus	1.0932356789728794	-1.9473524618982476	0.3815369485210667	-5.103968224956131	3.3260414445368477e-7	1.2860693585542477e-5
Avian leukosis virus	Avian leukosis virus	1.2182335470730223	0.02710985403930865	0.7628270157410919	0.03553866535910665	0.9716502153382522	0.9997425766897149
Avian myeloblastosis virus	Avian myeloblastosis virus	1.0682209074369409	0.0011168341611701431	0.7319874101045796	0.0015257559703254736	0.9987826233400527	0.9997425766897149
Avian sarcoma virus CT10	Avian sarcoma virus CT10	1.4172962784042453	0.001116001474512787	0.7738225127171424	0.0014421930819693304	0.9988492968050953	0.9997425766897149
Baboon endogenous virus	Baboon endogenous virus	1.0284192641632588	0.0011166733040197483	0.7310216428029843	0.0015275516327232733	0.9987811906104187	0.9997425766897149
Bacillus phage vB_BanS-Tsamsa	Bacillus phage vB_BanS-Tsamsa	1.0084939001625215	0.0011168696844593147	0.7309199570519155	0.0015280328217662637	0.9987808066775585	0.9997425766897149
Bacillus virus 1	Bacillus virus 1	1.0112160954978109	0.001116869697616702	0.730932224411051	0.00152800719453383	0.9987808271251079	0.9997425766897149
Bacillus virus Bcp1	Bacillus virus Bcp1	1.1619290082299873	0.0011168585697724294	0.7447195726381143	0.0014997035270820668	0.9988034101585035	0.9997425766897149
Bacillus virus SIOphi	Bacillus virus SIOphi	1.014392458490145	0.0011168697160734576	0.7309494377833526	0.0015279712362327427	0.9987808558156476	0.9997425766897149
Bat associated circovirus 4	Bat associated circovirus 4	1.0143827933240823	0.001116827228960995	0.7309472150864231	0.0015279177564537921	0.9987808984862877	0.9997425766897149
BeAn 58058 virus	BeAn 58058 virus	225.4611836844474	-4.205958153047104	0.6522064298231818	-6.448814302838707	1.1272858199237216e-10	6.538257755557585e-9
Bombyx mori nucleopolyhedrovirus	Bombyx mori nucleopolyhedrovirus	1.0062261348211776	0.0011168696785344467	0.730914432936271	0.001528044362248662	0.9987807974695966	0.9997425766897149
Bovine gammaherpesvirus 4	Bovine gammaherpesvirus 4	2.0401284318637156	0.0011169585222988068	0.8426578484651661	0.0013255184465833403	0.9989423896061151	0.9997425766897149
Brazilian marseillevirus	Brazilian marseillevirus	1.0089460834558173	0.02065692036954227	0.7308339894161897	0.028264859966411232	0.9774509070799141	0.9997425766897149
Brome mosaic virus	Brome mosaic virus	2.443304489854684	2.396800234512985	0.9688981509548806	2.473738062303928	0.013370768885308975	0.20680122542611215
Cafeteria roenbergensis virus	Cafeteria roenbergensis virus	1.0211798589299206	0.03993585946477162	0.7308042199893595	0.0546464543750898	0.9564201287861183	0.9997425766897149
