Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	2.6986542745119335	0.29916430461356286	9.020642613087965	1.8698916854041053e-19	1.7763971011339e-18
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	1.4922775235941241	0.5041183843265468	2.960172788754098	0.00307466543098116	0.005007312273312175
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	0.6681289157375022	0.5903721251319424	1.1317080995112734	0.25775717521453323	0.2998399793311917
Botrytis cinerea	Botrytis cinerea	16.324921084758525	0.5718023588691356	0.5410283009481496	1.0568806804876096	0.29056604664817487	0.3312452931789193
Candida albicans	Candida albicans	3.471098689595778	1.8150693652789305	0.4376677067183949	4.147140255990571	3.3665384676854176e-5	7.10713676511366e-5
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	-0.03445865543181759	0.21397836302603648	-0.16103803648420625	0.8720634428057891	0.8720634428057891
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	0.9658570986799304	0.31803734779860593	3.0369297988598185	0.0023900111040967005	0.00412820099798521
Cercospora beticola	Cercospora beticola	4.036601032120146	-1.849019524077471	0.34880262584154303	-5.30104817765179	1.1513969670248964e-7	3.8605663012011235e-7
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	-1.0926937548281324	0.560126724895878	-1.9507973932706983	0.051081152070176675	0.07279064170000177
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	0.12644980097060954	0.5114021163483833	0.2472610044587065	0.8047062358510608	0.8190759900626868
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	0.5802208281330276	0.3042857741461979	1.906828637523663	0.05654278163926749	0.07860825740093286
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	1.482456313373679	0.32458045617974163	4.567299987257227	4.940467182933571e-6	1.340983949653398e-5
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	1.075491218851469	0.2905546186719545	3.7015113501456094	2.143190673264588e-4	4.21247821986488e-4
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	0.18821953392301413	0.25992299349814857	0.72413575801771	0.4689823936645025	0.4950369710903082
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	1.3252331940083686	0.29492585162104007	4.493445341343642	7.008001490173916e-6	1.7645112642268774e-5
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	1.8133059153916455	0.31818963968588304	5.698821360688368	1.2063855367843135e-8	5.730331299725489e-8
