Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	0.181811864798157	0.8617066282369464	0.21099044482243853	0.8328947274538013	0.9170131162692309
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	-2.0846201730097738	1.1181229927339553	-1.8643925458617105	0.06226659891250844	0.32265419436481646
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	-1.3415610685988821	1.1907965489721806	-1.12660812609579	0.25990820188775665	0.6230558769457994
Botrytis cinerea	Botrytis cinerea	16.324921084758525	-0.3351614756499285	1.0922229331893887	-0.30686178202761866	0.7589485800065958	0.9170131162692309
Candida albicans	Candida albicans	3.471098689595778	-1.2484317110003236	1.1924688058820174	-1.046930288526007	0.29513173118485236	0.6230558769457994
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	-0.9836691383775509	0.9133222019185634	-1.0770231319365868	0.2814699316257679	0.6230558769457994
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	-0.35911767056962546	0.8924830032877237	-0.4023804030404051	0.6874040901401143	0.9170131162692309
Cercospora beticola	Cercospora beticola	4.036601032120146	2.617810501263771	0.6967372774478372	3.7572419131252226	1.7179640099841556e-4	0.009792394856909687
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	-2.177795955719945	1.1569535726310438	-1.882353801602764	0.05978799407942965	0.32265419436481646
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	0.5682050710774798	1.1048547741550556	0.5142803238661099	0.607056016236836	0.8872357160384526
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	-1.147884397773677	0.8574842588253881	-1.3386652710640883	0.1806796669564625	0.5871059016463875
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	0.7680436285372719	0.8091209374776427	0.9492321765045095	0.3425025399310054	0.6341530657889239
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	1.6351005167031893	0.8500301206356499	1.9235795026657012	0.054407312347550287	0.32265419436481646
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	0.5220052619152917	0.8440950426038479	0.6184200067151444	0.5362985130623295	0.8491393123486882
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	1.1445310489124412	0.939550401632817	1.2181688677088471	0.22315980764662988	0.6230558769457994
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	1.22888665089087	0.9279485548786044	1.324304719728385	0.1854018636778066	0.5871059016463875
Eremothecium cymbalariae	Eremothecium cymbalariae	2.192434898966334	0.7120680659928575	0.6789895156597665	1.048717321210695	0.29430823978791765	0.6230558769457994
Eremothecium gossypii	Eremothecium gossypii	1.9460744837059256	1.2526302348404248	0.5813310235046013	2.1547624059160677	0.031180431508132884	0.2962140993272624
Eremothecium sinecaudum	Eremothecium sinecaudum	1.7675767373318052	0.03984725559905454	0.9059425803271515	0.043984305919989995	0.9649169138218621	0.9649169138218621
Fusarium fujikuroi	Fusarium fujikuroi	6.083235529262282	0.3414754361684452	0.9706909356086518	0.3517859533264623	0.724998793689241	0.9170131162692309
Fusarium graminearum	Fusarium graminearum	2.068670447581383	0.607344255661987	0.7876208570582587	0.7711124587665192	0.4406402765025062	0.7611059321406926
Fusarium oxysporum	Fusarium oxysporum	5.07597457594362	-0.9322701825606895	0.811492947933814	-1.1488333754894517	0.2506246942309593	0.6230558769457994
Fusarium pseudograminearum	Fusarium pseudograminearum	33.209864185027556	-2.06304782768614	0.8006684840578682	-2.576656717185129	0.009976097106498187	0.14215938376759915
Fusarium venenatum	Fusarium venenatum	3.230453011865102	-1.5176158418101238	0.85424223675874	-1.7765638088423594	0.0756400346474592	0.3592901645754312
Fusarium verticillioides	Fusarium verticillioides	3.3231956132105567	0.7319274380445991	0.6729910063595187	1.0875738771070531	0.27678326820350846	0.6230558769457994
Kazachstania africana	Kazachstania africana	2.643875485070161	0.738824136019268	0.9930699050671815	0.7439799879639755	0.4568885820830353	0.7659602699627357
Kazachstania naganishii	Kazachstania naganishii	3.1473431691073315	0.15111614945834836	0.9286993699596118	0.1627180488610865	0.8707404354526255	0.9257047964218109
Kluyveromyces lactis	Kluyveromyces lactis	2.473561515735775	0.4077352819807509	0.7789025300293109	0.5234740757170315	0.6006443870231014	0.8872357160384526
