Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	-0.1647726270327881	0.5469973890902126	-0.3012311033272835	0.7632382736318667	0.8650033767827823
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	1.1196151769751084	0.706260151700853	1.585273038948597	0.11290431195507865	0.25591644043151157
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	2.5097564723309165	0.7854333208736411	3.1953781506739523	0.0013964773643740638	0.006782890055531166
Botrytis cinerea	Botrytis cinerea	16.324921084758525	2.264025735158453	0.7421880374629225	3.050474570969566	0.0022848002729110215	0.009710401159871842
Candida albicans	Candida albicans	3.471098689595778	0.09640103012974088	0.6504955822323502	0.14819628720446476	0.8821878618472299	0.9334131142327584
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	-0.164058927621834	0.5003134177875289	-0.32791230814342437	0.7429779672759071	NA
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	0.04499750759592188	0.5568650081022013	0.08080505497961456	0.9355969879263398	NA
Cercospora beticola	Cercospora beticola	4.036601032120146	0.7561251949679476	0.5893110439807118	1.2830663920031604	0.19946881693712026	0.3989376338742405
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	4.4552231325781495	0.7581598763456768	5.876363642523898	4.193765449384931e-9	4.7529341759695884e-8
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	2.5471504639200715	0.704930927702991	3.613333397386792	3.0228561302776756e-4	0.002055542168588819
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	0.12087862429207749	0.5496480775597364	0.21992003470427904	0.8259334328247725	NA
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	-0.17795362904957474	0.5535791296460117	-0.3214601481876093	0.7478617080284039	NA
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	-0.4202292699568774	0.5114661474128102	-0.8216169771597915	0.4112949238536452	NA
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	-0.35056946982285003	0.5101958180769184	-0.6871272899575145	0.4920025184379674	NA
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	-0.428226610110879	0.5121652791020764	-0.8361101925176225	0.4030929148848887	NA
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	-0.4142232352843505	0.5058182065995253	-0.8189172115196441	0.41283364933501304	NA
Eremothecium cymbalariae	Eremothecium cymbalariae	2.192434898966334	-0.2718981527511073	0.5284160209131767	-0.5145531967051818	0.6068652779544388	NA
Eremothecium gossypii	Eremothecium gossypii	1.9460744837059256	-0.2882730437748016	0.5067251105344626	-0.5688943330058163	0.5694278514197051	NA
Eremothecium sinecaudum	Eremothecium sinecaudum	1.7675767373318052	-0.39126082200754503	0.49575154291556367	-0.7892276435621391	0.4299789679187506	NA
Fusarium fujikuroi	Fusarium fujikuroi	6.083235529262282	2.178815687202802	0.6478086976970936	3.36336281829545	7.69990941694103e-4	0.0043632820029332504
Fusarium graminearum	Fusarium graminearum	2.068670447581383	-0.11197885193550491	0.5280999142243891	-0.21204103412886605	0.8320750215030271	NA
Fusarium oxysporum	Fusarium oxysporum	5.07597457594362	0.4615752652490287	0.5501062482829953	0.8390656653868384	0.40143246192782056	0.6499382716926618
Fusarium pseudograminearum	Fusarium pseudograminearum	33.209864185027556	3.8389122034142193	0.6208522848217287	6.183293993218569	6.27776419621314e-10	1.0672199133562337e-8
Fusarium venenatum	Fusarium venenatum	3.230453011865102	0.4079300801043631	0.5596492340321351	0.7289031330666303	0.46606091816397227	0.6889596181554373
Fusarium verticillioides	Fusarium verticillioides	3.3231956132105567	0.542394981913439	0.5410534899134979	1.0024794073505665	0.3161121073809476	0.5373905825476109
Kazachstania africana	Kazachstania africana	2.643875485070161	-0.3553270137900645	0.5412594638726791	-0.6564818492922432	0.5115141423038336	NA
Kazachstania naganishii	Kazachstania naganishii	3.1473431691073315	-0.06430287216071835	0.549463248800585	-0.11702852247367612	0.9068374511110393	0.9334131142327584
Kluyveromyces lactis	Kluyveromyces lactis	2.473561515735775	-0.15931981784218716	0.5138145098486698	-0.310072632804999	0.7565057231644721	NA
Kluyveromyces marxianus	Kluyveromyces marxianus	7.1056170348231005	1.7896933330671698	0.6985662078710718	2.561952343101998	0.010408559992544216	0.03932122663850037
Komagataella phaffii	Komagataella phaffii	2.0152684122901823	-0.35245875845618646	0.5257438584971738	-0.6704001440239005	0.5026027428652895	NA
Lachancea thermotolerans	Lachancea thermotolerans	3.1014586901491557	0.05369441417305537	0.5783755678800614	0.09283658777265305	0.9260333836741768	NA
Malassezia restricta	Malassezia restricta	182.28251699347527	6.14534230799061	0.7763451326318466	7.915734960761086	2.457967301117232e-15	8.357088823798589e-14
Naumovozyma castellii	Naumovozyma castellii	2.3892303063317377	-0.3101588965480569	0.5161558717567531	-0.6009016142593149	0.5479055179737988	NA
Naumovozyma dairenensis	Naumovozyma dairenensis	2.500622804693485	0.14526739467629277	0.5138086876711095	0.2827266221105215	0.7773864070143784	NA
Neurospora crassa	Neurospora crassa	6.252312370950761	1.1412761109385752	0.6164005653060377	1.8515169764192887	0.06409521475640652	0.18160310847648514
