Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	0.08778129976880686	0.8660314556417892	0.10136040578774919	0.9192643661537776	0.9356798012636665
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	1.2476295847637655	1.1229367827352157	1.1110416934823586	0.2665504032579428	0.4468639113441983
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	0.4455500492427976	1.0491429812740367	0.4246800075827031	0.6710699598679349	0.831543211140702
Botrytis cinerea	Botrytis cinerea	16.324921084758525	0.8858708894968297	0.9943178960044978	0.8909332649613926	0.37296497310244153	0.5594474596536623
Candida albicans	Candida albicans	3.471098689595778	-1.1397451026033545	0.8690087372412083	-1.3115461948307185	0.1896732974872072	0.3390483066557684
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	-0.8647447111575755	0.558966196352738	-1.547042946067305	0.12185289016626343	0.2906888481873579
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	-1.2757211183014854	0.824310589831788	-1.5476218964526636	0.12171335639783425	0.2906888481873579
Cercospora beticola	Cercospora beticola	4.036601032120146	0.7842587544508938	0.7370677648738326	1.0640253065267873	0.2873172355685471	0.46791664078306244
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	2.746039488320587	1.0370174375084038	2.648016695763936	0.008096552649066923	0.046150350099681464
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	0.8092178240702743	1.1218669204693485	0.7213135616225558	0.47071661491766836	0.6388296916739785
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	0.3446589171887986	0.8706187868324198	0.39587810692987024	0.6921949525907576	0.8394704744185784
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	-1.457503574834304	0.8794878750300948	-1.657218497508485	0.09747530810100492	0.2906888481873579
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	-0.2176207663295256	0.808517562517421	-0.269160221643097	0.7878063895330272	0.8540724455520349
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	-1.220177693237347	0.8086417622271094	-1.5089224304676172	0.13131860694372843	0.2994064238317008
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	-1.3749490003564842	0.8120236033657642	-1.6932377269052836	0.09041022613046286	0.2862990494131324
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	-2.344980943759301	0.8056587009692225	-2.910638141111422	0.00360691481976994	0.025699268090860823
Eremothecium cymbalariae	Eremothecium cymbalariae	2.192434898966334	0.6537390518627908	0.8352416941390896	0.7826944661049526	0.43380655269040924	0.6181743375838332
Eremothecium gossypii	Eremothecium gossypii	1.9460744837059256	-0.005954041525266169	0.8009262585025131	-0.007433944713460143	0.9940686249187765	0.9940686249187765
Eremothecium sinecaudum	Eremothecium sinecaudum	1.7675767373318052	-1.2526938388530584	0.7854006802110314	-1.594974221968421	0.1107180004056783	0.2906888481873579
Fusarium fujikuroi	Fusarium fujikuroi	6.083235529262282	0.10175602975625146	0.9801572937032645	0.10381602056114206	0.9173153525999184	0.9356798012636665
Fusarium graminearum	Fusarium graminearum	2.068670447581383	-1.1607484201486908	0.837884665620069	-1.3853319767938341	0.16595098030395408	0.3390483066557684
Fusarium oxysporum	Fusarium oxysporum	5.07597457594362	3.583651762774771	0.7334438464054462	4.8860615305970345	1.028730602962913e-6	1.1727528873777209e-5
