Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Candida] glabrata	[Candida] glabrata	4.013404588654946	1.5999986304023883	0.13487197963164038	11.863091464752516	1.8405168063973673e-32	1.165660644051666e-31
Aspergillus fumigatus	Aspergillus fumigatus	8.021488420459	0.34055837823689217	0.18674874404676006	1.8236180381037512	0.06820983763138333	0.07934613765283367
Aspergillus oryzae	Aspergillus oryzae	25.44624249891471	1.6343153748913966	0.21109878490804615	7.74194591221024	9.790664180400748e-15	3.282752107546133e-14
Botrytis cinerea	Botrytis cinerea	16.324921084758525	1.2221845889702596	0.19524967855844244	6.259598468964615	3.8596996182242555e-10	8.461649163030099e-10
Candida albicans	Candida albicans	3.471098689595778	1.4459252227238164	0.18065876523331453	8.003626178095782	1.2080776871143436e-15	4.303776760344849e-15
Candida dubliniensis	Candida dubliniensis	2.0765609063340524	0.03081362376971519	0.13784388143736567	0.22354001823226713	0.8231152409464242	0.8231152409464242
Candida orthopsilosis	Candida orthopsilosis	2.3081190332276935	0.5232701771541627	0.16117522215968583	3.2465919397693024	0.0011679571705383363	0.0017070143261714145
Cercospora beticola	Cercospora beticola	4.036601032120146	-0.24152836370181666	0.15607170691044098	-1.5475473965336555	0.12173130473667378	0.13605263470569423
Colletotrichum higginsianum	Colletotrichum higginsianum	29.879562212615017	-2.5320462823737624	0.19744684884857688	-12.823938680913582	1.2042426206925225e-37	9.805975625639111e-37
Cryptococcus gattii VGI	Cryptococcus gattii VGI	6.071836067613523	-2.0252257238507485	0.19353900244724154	-10.464173620006243	1.261726449250582e-25	7.191840760728317e-25
Cryptococcus neoformans	Cryptococcus neoformans	2.5233743949978247	0.3986561338744656	0.1596998427901012	2.4962838216342678	0.01255021397397896	0.01522047226631491
Debaryomyces hansenii	Debaryomyces hansenii	2.1921321460917	0.34683564336508965	0.15934157938430263	2.176680090063534	0.029504444827863387	0.03503652823308777
Encephalitozoon cuniculi	Encephalitozoon cuniculi	1.4925314527120936	-0.642449464602857	0.16056708575154627	-4.001128011982183	6.304123965848954e-5	1.0568678413335012e-4
Encephalitozoon hellem	Encephalitozoon hellem	1.5372842595178675	-0.7535010155716714	0.15635948077254636	-4.819029916502328	1.4425792365893535e-6	2.569594265174786e-6
Encephalitozoon intestinalis	Encephalitozoon intestinalis	1.4484424186820253	-0.485299970533764	0.15953473338479876	-3.0419706118994005	0.002350348401716466	0.003349246472445964
Encephalitozoon romaleae	Encephalitozoon romaleae	1.4275167647998086	-0.5764460979496857	0.1603644828510371	-3.5945995503577164	3.2489090292997e-4	5.144105963057858e-4
Eremothecium cymbalariae	Eremothecium cymbalariae	2.192434898966334	0.12065423407122594	0.14770933478078707	0.816835538866158	0.41402241966403575	0.42141567715803635
Eremothecium gossypii	Eremothecium gossypii	1.9460744837059256	0.2010092419313992	0.14925409893127886	1.3467586040899955	0.17805799096547698	0.18795010157467015
Eremothecium sinecaudum	Eremothecium sinecaudum	1.7675767373318052	0.1225563394085525	0.14167040102250147	0.8650807686291995	0.38699445930992193	0.40106698510301003
Fusarium fujikuroi	Fusarium fujikuroi	6.083235529262282	-2.598011742521802	0.16116787131403565	-16.11991100546073	1.8487530810883444e-58	3.5126308540678545e-57
Fusarium graminearum	Fusarium graminearum	2.068670447581383	0.5133365053113665	0.1485107537412674	3.456561174052699	5.471150087456101e-4	8.428528513108047e-4
